# k     pk_smooth     pk_ratio
0.0020719 7273.09 0.00678907
0.00208315 7306.98 0.00685206
0.00209446 7340.98 0.0069154
0.00210582 7375.12 0.00697907
0.00211725 7409.39 0.00704308
0.00212874 7443.78 0.00710743
0.0021403 7478.3 0.00717212
0.00215191 7512.95 0.00723715
0.00216359 7547.73 0.00730251
0.00217533 7582.64 0.00736821
0.00218714 7617.68 0.00743425
0.00219901 7652.84 0.00750063
0.00221094 7688.14 0.00756734
0.00222294 7723.57 0.00763439
0.00223501 7759.12 0.00770179
0.00224714 7794.8 0.00776952
0.00225933 7830.62 0.00783759
0.0022716 7866.56 0.00790601
0.00228392 7902.63 0.00797477
0.00229632 7938.83 0.00804387
0.00230878 7975.17 0.00811332
0.00232131 8011.63 0.00818312
0.00233391 8048.22 0.00825327
0.00234658 8084.94 0.00832377
0.00235931 8121.79 0.00839463
0.00237212 8158.77 0.00846584
0.00238499 8195.89 0.00853741
0.00239794 8233.13 0.00860934
0.00241095 8270.5 0.00868164
0.00242404 8308 0.0087543
0.00243719 8345.63 0.00882733
0.00245042 8383.39 0.00890073
0.00246372 8421.29 0.00897451
0.00247709 8459.31 0.00904868
0.00249053 8497.46 0.00912322
0.00250405 8535.74 0.00919815
0.00251764 8574.15 0.00927347
0.0025313 8612.69 0.00934919
0.00254504 8651.37 0.00942531
0.00255885 8690.17 0.00950183
0.00257274 8729.1 0.00957876
0.0025867 8768.16 0.00965611
0.00260074 8807.35 0.00973387
0.00261486 8846.67 0.00981205
0.00262905 8886.12 0.00989067
0.00264332 8925.7 0.00996972
0.00265766 8965.4 0.0100492
0.00267209 9005.24 0.0101291
0.00268659 9045.2 0.0102095
0.00270117 9085.3 0.0102903
0.00271583 9125.52 0.0103716
0.00273057 9165.87 0.0104533
0.00274539 9206.35 0.0105354
0.00276029 9246.96 0.010618
0.00277527 9287.69 0.0107011
0.00279033 9328.56 0.0107846
0.00280548 9369.55 0.0108686
0.0028207 9410.67 0.010953
0.00283601 9451.91 0.0110379
0.0028514 9493.28 0.0111233
0.00286688 9534.78 0.0112092
0.00288244 9576.41 0.0112955
0.00289808 9618.16 0.0113824
0.00291381 9660.04 0.0114697
0.00292963 9702.04 0.0115575
0.00294552 9744.17 0.0116458
0.00296151 9786.43 0.0117346
0.00297758 9828.81 0.011824
0.00299374 9871.31 0.0119138
0.00300999 9913.94 0.0120042
0.00302633 9956.69 0.0120951
0.00304275 9999.57 0.0121865
0.00305927 10042.6 0.0122785
0.00307587 10085.7 0.012371
0.00309256 10128.9 0.012464
0.00310935 10172.3 0.0125576
0.00312622 10215.8 0.0126518
0.00314319 10259.4 0.0127466
0.00316025 10303.1 0.0128419
0.0031774 10347 0.0129378
